Pore Size Analysis (all nm units)
Image : 1280×960px , 300×
Pixel  : 0.3300 nm/px

Average Diameter : 8.389 nm
Mode    Diameter : 8.541 nm

0.6996699669966997	0.07920792079207917	0.09294937444397956
0.7788778877887789	0.07920792079207928	0.0
0.858085808580858	0.07920792079207917	0.0
0.9372937293729373	0.07920792079207928	0.0
1.0165016501650164	0.07920792079207906	0.0
1.0957095709570956	0.07920792079207928	0.0
1.174917491749175	0.07920792079207928	0.0
1.2541254125412542	0.07920792079207928	0.0
1.3333333333333335	0.07920792079207906	0.04945461642058191
1.4125412541254125	0.07920792079207928	0.0
1.4917491749174916	0.07920792079207906	0.0
1.5709570957095709	0.07920792079207928	0.0
1.6501650165016502	0.07920792079207928	0.0
1.7293729372937294	0.07920792079207928	0.0
1.8085808580858087	0.07920792079207906	0.0
1.8877887788778878	0.07920792079207928	0.0
1.9669966996699673	0.0792079207920795	0.03624748142495952
2.0462046204620465	0.07920792079207883	0.0
2.1254125412541254	0.07920792079207928	0.0
2.2046204620462047	0.07920792079207928	0.0
2.2838283828382835	0.07920792079207883	0.0
2.3630363036303628	0.07920792079207928	0.0
2.442244224422442	0.07920792079207928	0.0
2.5214521452145213	0.07920792079207928	0.0
2.6006600660066006	0.07920792079207928	0.0
2.67986798679868	0.07920792079207928	0.01874525294756791
2.759075907590759	0.07920792079207928	0.0
2.8382838283828384	0.07920792079207928	0.0
2.9174917491749177	0.07920792079207883	0.0
2.9966996699669965	0.07920792079207928	0.0
3.075907590759076	0.07920792079207928	0.0
3.155115511551155	0.07920792079207928	0.0
3.2343234323432344	0.07920792079207928	0.0
3.3135313531353137	0.07920792079207928	0.03206337227088437
3.392739273927393	0.07920792079207928	0.0
3.4719471947194718	0.07920792079207883	0.0
3.551155115511551	0.07920792079207928	0.0
3.6303630363036303	0.07920792079207928	0.0
3.7095709570957096	0.07920792079207928	0.0
3.788778877887789	0.07920792079207928	0.0
3.867986798679868	0.07920792079207928	0.0
3.9471947194719474	0.07920792079207883	0.010177262849567714
4.026402640264026	0.07920792079207883	0.0
4.105610561056105	0.07920792079207928	0.0
4.184818481848184	0.07920792079207928	0.0
4.264026402640264	0.07920792079207928	0.0
4.343234323432343	0.07920792079207928	0.0
4.422442244224422	0.07920792079207928	0.0
4.5016501650165015	0.07920792079207928	0.0
4.580858085808581	0.07920792079207928	0.0
4.66006600660066	0.07920792079207928	0.01752442534293057
4.739273927392739	0.07920792079207928	0.0
4.818481848184819	0.07920792079207928	0.0
4.897689768976898	0.07920792079207928	0.0
4.976897689768977	0.07920792079207928	0.0
5.0561056105610565	0.07920792079207928	0.0
5.135313531353136	0.07920792079207928	0.0
5.214521452145215	0.07920792079207839	0.0
5.293729372937293	0.07920792079207928	0.03156394279626
5.372937293729373	0.07920792079207928	0.0
5.452145214521452	0.07920792079207928	0.0
5.531353135313531	0.07920792079207928	0.0
5.6105610561056105	0.07920792079207928	0.0
5.68976897689769	0.07920792079207928	0.0
5.768976897689769	0.07920792079207928	0.0
5.848184818481848	0.07920792079207928	0.0
5.927392739273928	0.07920792079207928	0.014594439091800948
6.006600660066007	0.07920792079207928	0.0
6.085808580858086	0.07920792079207928	0.0
6.1650165016501655	0.07920792079207928	0.0
6.244224422442244	0.07920792079207839	0.0
6.323432343234323	0.07920792079207928	0.0
6.402640264026402	0.07920792079207928	0.0
6.481848184818482	0.07920792079207928	0.0
6.561056105610561	0.07920792079207928	0.0
6.64026402640264	0.07920792079207928	0.018667563918181897
6.7194719471947195	0.07920792079207928	0.0
6.798679867986799	0.07920792079207928	0.0
6.877887788778878	0.07920792079207928	0.0
6.957095709570957	0.07920792079207928	0.0
7.036303630363037	0.07920792079207928	0.0
7.115511551155116	0.07920792079207928	0.0
7.194719471947195	0.07920792079207928	0.0
7.2739273927392745	0.07920792079207839	0.009444766286785358
7.353135313531353	0.07920792079207928	0.0
7.432343234323432	0.07920792079207928	0.0
7.511551155115511	0.07920792079207928	0.0
7.590759075907591	0.07920792079207928	0.0
7.66996699669967	0.07920792079207928	0.0
7.749174917491749	0.07920792079207928	0.0
7.8283828382838285	0.07920792079207928	0.0
7.907590759075908	0.07920792079207928	0.03462711024062278
7.986798679867988	0.07920792079208017	0.0
8.066006600660067	0.07920792079207928	0.0
8.145214521452147	0.07920792079207928	0.0
8.224422442244226	0.0792079207920775	0.0
8.303630363036303	0.07920792079207928	0.0
8.382838283828383	0.07920792079207928	0.0
8.462046204620462	0.07920792079207928	0.0
8.541254125412541	0.07920792079207928	12.258940391965867
